gene	tier	drug	drug_id	approved	score	interaction_type	directionality	n_sources	n_publications	sources
PLK1	2	ANTISENSE OLIGONUCLEOTIDES	ncit:C1291	False	0.01688420717489082			1	1	NCI
PLK1	2	BENZBROMARONE	rxcui:1385	True	0.01638761284621756			1	0	DTC
PLK1	2	CEFACLOR ANHYDROUS	rxcui:1450910	True	0.01638761284621756			1	0	DTC
PLK1	2	CHEMBL:CHEMBL1451216	chembl:CHEMBL1451216	False	0.01638761284621756			1	0	DTC
PLK1	2	CHEMBL:CHEMBL523200	chembl:CHEMBL523200	False	0.01638761284621756			1	0	DTC
PLK1	2	OXIDOPAMINE HYDROCHLORIDE	chembl:CHEMBL451197	False	0.01638761284621756			1	0	DTC
PLK1	2	INAMRINONE	rxcui:738	True	0.01547718991031658			1	0	DTC
PLK1	2	N-OLEOYLDOPAMINE	iuphar.ligand:5552	False	0.01547718991031658			1	0	DTC
PLK1	2	PYRONIN Y	chembl:CHEMBL1486690	False	0.01547718991031658			1	0	DTC
CDK1	2	BAY 61-3606	iuphar.ligand:9693	False	0.01503749701513713			1	0	DTC
PLK1	2	ACID BLUE 129	chembl:CHEMBL133576	False	0.01466260096766834			1	0	DTC
PLK1	2	CEPHALOCHROMIN	chembl:CHEMBL463175	False	0.01466260096766834			1	0	DTC
AURKB	2	BAY 61-3606	iuphar.ligand:9693	False	0.01454175535529745			1	0	DTC
CDK1	2	SNS-314	chembl:CHEMBL482767	False	0.01432142572870203			1	0	DTC
PLK1	2	OXYTETRACYCLINE ANHYDROUS	rxcui:1545999	True	0.01392947091928492			1	0	DTC
AURKB	2	SNS-314	chembl:CHEMBL482767	False	0.013849290814569	inhibitor	INHIBITORY	1	0	ChEMBL
AURKB	2	CP-547632	iuphar.ligand:7881	False	0.01352721428399763			1	0	DTC
PLK1	2	APOMORPHINE HYDROCHLORIDE	chembl:CHEMBL3187985	True	0.01326616278027136			1	0	DTC
PLK1	2	PROTOPORPHYRIN	drugbank:DB02285	False	0.01326616278027136			1	0	DTC
PLK1	2	PURPURIN	chembl:CHEMBL294264	False	0.01326616278027136			1	0	DTC
PLK1	2	SLAZINIC ACID	chembl:CHEMBL172439	False	0.01326616278027136			1	0	DTC
AURKB	2	CHEMBL:CHEMBL379975	chembl:CHEMBL379975	False	0.01321977759572495			1	0	DTC
AURKB	2	DACTOLISIB	ncit:C74072	False	0.01321977759572495			1	0	DTC
CDK1	2	G&OUML; 6976	iuphar.ligand:5973	False	0.01307608436098881			1	0	DTC
AURKB	2	SP-600125	chembl:CHEMBL1725279	False	0.01307124076880669			1	1	DTC
CDK1	2	KENPAULLONE	iuphar.ligand:6000	False	0.01279786980011671			1	0	TTD
AURKB	2	G&OUML; 6976	iuphar.ligand:5973	False	0.01264500465678039			1	0	DTC
AURKB	2	GSK269962A	iuphar.ligand:8037	False	0.01264500465678039			1	0	DTC
AURKB	2	KENPAULLONE	iuphar.ligand:6000	False	0.01237596200450847			1	0	DTC
PLK1	2	CHEMBL:CHEMBL515505	chembl:CHEMBL515505	False	0.01211258340807385			1	0	DTC
PLK1	2	ERYTHROMYCIN	rxcui:4053	True	0.01211258340807385			1	0	DTC
PLK1	2	THIMEROSAL	chembl:CHEMBL508338	False	0.01211258340807385			1	0	DTC
PLK1	2	THIRAM	chembl:CHEMBL120563	False	0.01211258340807385			1	0	DTC
AURKB	2	CEDIRANIB	ncit:C80867	False	0.011870820698202			1	0	DTC
AURKB	2	PAZOPANIB	rxcui:714438	True	0.011870820698202			1	0	DTC
CDK1	2	JNJ-7706621	iuphar.ligand:5932	False	0.01156730539625933	inhibitor	INHIBITORY	1	0	GuideToPharmacology
PLK1	2	PYROGALLOL RED	chembl:CHEMBL210208	False	0.01114357673542794			1	0	DTC
CDK1	2	SOTRASTAURIN	ncit:C80630	False	0.01093636146555428			1	0	DTC
AURKB	2	PD166285	iuphar.ligand:8183	False	0.01077167063355366			1	0	DTC
PLK1	2	HAEMATOXYLIN	chembl:CHEMBL1479103	False	0.01071497763021917			1	0	DTC
PLK1	2	LANSOPRAZOLE	rxcui:17128	True	0.01071497763021917			1	0	DTC
AURKB	2	VANDETANIB	rxcui:1098413	True	0.01038696811092675			1	0	DTC
AURKB	2	ENTRECTINIB	rxcui:2197862	True	0.01020474060020873			1	0	DTC
AURKB	2	ERLOTINIB	rxcui:337525	True	0.01020474060020873			1	0	DTC
PLK1	2	4-CHLOROMERCURIBENZOIC ACID	chembl:CHEMBL575867	False	0.009949622085203521			1	0	DTC
PLK1	2	ELLAGIC ACID	iuphar.ligand:13035	False	0.009949622085203521			1	0	DTC
PLK1	2	GW7647	iuphar.ligand:2674	False	0.009606531668472366			1	0	DTC
CDK1	2	GW441756X	chembl:CHEMBL1516890	False	0.00925384431700747			1	0	DTC
PLK1	2	CHEMBL:CHEMBL592124	chembl:CHEMBL592124	False	0.00898675543179673			1	0	DTC
CDK1	2	COMPOUND 8 [PMID: 17480064]	iuphar.ligand:8763	False	0.008977610158290829			1	0	DTC
AURKB	2	GW441756X	chembl:CHEMBL1516890	False	0.008948772526336895			1	0	DTC
AURKB	2	LINIFANIB	ncit:C71759	False	0.008309574488741402			1	0	DTC
PLK1	2	OMEPRAZOLE	rxcui:7646	True	0.008193806423108782			1	0	DTC
AURKB	2	DASATINIB ANHYDROUS	rxcui:1546019	True	0.007968085126190384			1	0	DTC
PLK1	2	CHEMBL:CHEMBL505670	chembl:CHEMBL505670	False	0.007959697668162817			1	0	DTC
PLK1	2	EBSELEN	ncit:C65503	False	0.007959697668162817			1	0	DTC
PLK1	2	PURPUROGALLIN	chembl:CHEMBL66953	False	0.007738594955158294			1	0	DTC
CDK1	2	TAMATINIB	iuphar.ligand:5706	False	0.007425924451919574			1	0	DTC
PLK1	2	GW843682X	chembl:CHEMBL514499	False	0.007143318420146118			1	0	DTC
CDK1	2	RG-1530	iuphar.ligand:10361	False	0.00699418465820332			1	0	DTC
PLK1	2	DISULFIRAM	rxcui:3554	True	0.006794863863065819			1	0	DTC
PLK1	2	HEXACHLOROPHENE	rxcui:5293	True	0.006794863863065819			1	0	DTC
CDK1	2	SP-600125	chembl:CHEMBL1725279	False	0.006758425624780736			1	0	DTC
