gene	drug	approved	score	n_sources	interaction_type	directionality	direction	verdict	passes_evidence	survives
AURKB	BI-811283	False	1.745010642635694	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	GSK1070916	False	0.9694503570198302	5	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	NERVIANO	False	0.5816702142118981	1			unknown	UNKNOWN	False	False
AURKB	TAK-901	False	0.5816702142118981	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	AMG-900	False	0.5816702142118981	5	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	PF-03814735	False	0.5816702142118981	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	TAK-901	False	0.5816702142118981	1			unknown	UNKNOWN	False	False
AURKB	SNS-314	False	0.5816702142118981	3	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	DANUSERTIB	False	0.4847251785099151	5	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	CYC116	False	0.4362526606589235	3	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	BARASERTIB	False	0.4230328830631986	6	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	COMPOUND 46 [PMID: 16451062]	False	0.290835107105949	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	COMPOUND 10 [PMID: 19402633]	False	0.290835107105949	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	VIC 1911	False	0.290835107105949	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	COMPOUND 1 [PMID: 21742770]	False	0.290835107105949	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	PF-03814735	False	0.290835107105949	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	AURORA B/C KINASE INHIBITOR GSK1070916A	False	0.290835107105949	1			unknown	UNKNOWN	False	False
AURKB	AURORA KINASE INHIBITOR II	False	0.290835107105949	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	SNS-314	False	0.290835107105949	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	CENISERTIB	False	0.290835107105949	5	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	KW-2449	False	0.2326680856847592	2	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	AT9283	False	0.2115164415315993	4	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	MK-5108	False	0.193890071403966	1			unknown	UNKNOWN	False	False
AURKB	XMD-12	False	0.193890071403966	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	COMPOUND 25 [PMID: 20855207]	False	0.193890071403966	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	EP-0042	False	0.193890071403966	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	TOZASERTIB LACTATE	False	0.193890071403966	1			unknown	UNKNOWN	False	False
AURKB	MK-5108	False	0.193890071403966	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	MK-6592	False	0.193890071403966	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	TTP-607	False	0.193890071403966	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	BMS-754807	False	0.1454175535529745	1			unknown	UNKNOWN	False	False
AURKB	IBCASERTIB	False	0.1454175535529745	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	AURORA KINASE INHIBITOR AMG 900	False	0.1454175535529745	1			unknown	UNKNOWN	False	False
AURKB	COMPOUND 38 [PMID: 20817473]	False	0.1454175535529745	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	BI-847325	False	0.1454175535529745	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	BARASERTIB-HQPA	False	0.1057582207657996	3	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	GSK2334470	False	0.09694503570198303	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	WITHAFERIN A	False	0.09694503570198303	1			unknown	UNKNOWN	False	False
AURKB	AR-AO-14418	False	0.09694503570198303	1			unknown	UNKNOWN	False	False
AURKB	DUBERMATINIB	False	0.09694503570198303	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	AT-9283	False	0.09694503570198303	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	EUPATORIN	False	0.09694503570198303	1			unknown	UNKNOWN	False	False
AURKB	AT-9283	False	0.09694503570198303	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	NIK INHIBITOR 12F	False	0.08309574488741402	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	TINENGOTINIB	False	0.08309574488741402	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	IBCASERTIB	False	0.07270877677648727	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	TAK-632	False	0.07270877677648727	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	GSK2646264	False	0.07270877677648727	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	CDK2 INHIBITOR IV	False	0.07270877677648727	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	ZM447439	False	0.06843178990728213	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	BX-795	False	0.06463002380132202	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	CHEMBL:CHEMBL535331	False	0.06463002380132202	1			unknown	UNKNOWN	False	False
AURKB	MLN-8054	False	0.06463002380132202	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	COPANLISIB	True	0.06122844360125243	1			unknown	UNKNOWN	False	False
AURKB	TOZASERTIB	False	0.05816702142118981	5	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	BMS-345541	False	0.05816702142118981	1			unknown	UNKNOWN	False	False
AURKB	BELUMOSUDIL	True	0.05816702142118981	1			unknown	UNKNOWN	False	False
AURKB	LAS38096	False	0.05287911038289983	1			unknown	UNKNOWN	False	False
AURKB	ALISERTIB	False	0.03712788601352541	2			unknown	UNKNOWN	False	False
AURKB	(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE	False	0.02529000931356078	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	ENMD-2076	False	0.02326680856847592	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	JNJ-7706621	False	0.02237193131584223	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	ILORASERTIB	False	0.0221588653033104	4	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
