run	compound	pert_id	score	cell_id	dose	dose_unit	pubchem_id	compound_class
consensus	BI-2536	BRD-K64890080	0.0727	HS578T	0.04	um	11364421	mitotic / CDK kinase inhibitor
consensus	Parbendazole	BRD-K02407574	0.0692	HT29	0.31	um	26596	antimitotic / tubulin
consensus	radicicol	BRD-A39996500	0.0692	HS578T	3.33	um	5311380	HSP90 inhibitor
consensus	AZD-5438	BRD-K72414522	0.0692	MDAMB231	10	um	16747683	mitotic / CDK kinase inhibitor
consensus	geldanamycin	BRD-A19500257	0.0657	HA1E	10.0	um	13017911	HSP90 inhibitor
consensus	YK 4-279	BRD-A62182663	0.0657	HT29	10.0	um	44632017	unclassified
consensus	PROSTAGLANDIN A1	BRD-K04010869	0.0657	NCIH1836	1.0	um	5281912	unclassified
consensus	vincristine	BRD-K82109576	0.0657	VCAP	10.0	um	5388992	antimitotic / tubulin
consensus	NVP-AUY922	BRD-K65182930	0.0657	HS578T	0.04	um		HSP90 inhibitor
consensus	A443654	BRD-K88573743	0.0657	HS578T	1.11	um		unclassified
consensus	BMS-387032	BRD-K43389698	0.0657	MCF10A	3.33	um	3025986	mitotic / CDK kinase inhibitor
consensus	D-64131	BRD-K26997899	0.0623	VCAP	10.0	um	3921152	antimitotic / tubulin
consensus	geldanamycin	BRD-A19500257	0.0623	A549	10.0	um	13017911	HSP90 inhibitor
consensus	PROSTAGLANDIN A1	BRD-K04010869	0.0623	CL34	1.0	um	5281912	unclassified
consensus	geldanamycin	BRD-A19500257	0.0623	HA1E	10.0	um	13017911	HSP90 inhibitor
consensus	geldanamycin	BRD-A19500257	0.0623	HA1E	1.11	um	13017911	HSP90 inhibitor
consensus	CGP-60474	BRD-K79090631	0.0623	HME1	3.33	um	644215	mitotic / CDK kinase inhibitor
consensus	PF-562271	BRD-K99545815	0.0623	LNCAP	10	um	11713159	unclassified
consensus	GW-843682X	BRD-K90382497	0.0623	SKBR3	3.33	um	9826308	mitotic / CDK kinase inhibitor
consensus	geldanamycin	BRD-A19500257	0.0588	SKB	10.0	um	13017911	HSP90 inhibitor
consensus	geldanamycin	BRD-A19500257	0.0588	HA1E	1.11	um	13017911	HSP90 inhibitor
consensus	CGP-60474	BRD-K79090631	0.0588	HS578T	3.33	um	644215	mitotic / CDK kinase inhibitor
consensus	A443654	BRD-K88573743	0.0588	HME1	1.11	um		unclassified
consensus	geldanamycin	BRD-A19500257	0.0588	HS578T	0.37	um	13017911	HSP90 inhibitor
consensus	MEBENDAZOLE	BRD-K77987382	0.0554	VCAP	10.0	um	4030	antimitotic / tubulin
consensus	Evodiamine	BRD-A68631409	0.0554	HT29	10.0	um	151289	antimitotic / tubulin
consensus	geldanamycin	BRD-A19500257	0.0554	A549	10.0	um	13017911	HSP90 inhibitor
consensus	vinorelbine	BRD-K97514127	0.0554	VCAP	10.0	um	13200033	antimitotic / tubulin
consensus	PF-431396	BRD-K93788137	0.0554	HS578T	10	um	11598628	unclassified
consensus	mitoxantrone	BRD-K21680192	0.0554	HS578T	10	um	5458171	topoisomerase / DNA damage
consensus	QL-X-138	BRD-K72636697	0.0554	HA1E	3.33	um	73707530	unclassified
consensus	AT-7519	BRD-K13390322	0.0554	HS578T	10	um	11338033	mitotic / CDK kinase inhibitor
consensus	alvocidib	BRD-K87909389	0.0554	HS578T	3.33	um	5287969	unclassified
consensus	BMS-387032	BRD-K43389698	0.0554	MCF10A	10	um	3025986	mitotic / CDK kinase inhibitor
consensus	BI-2536	BRD-K64890080	0.0554	SKBR3	0.04	um	11364421	mitotic / CDK kinase inhibitor
consensus	tivantinib	BRD-K33379087	0.0554	HCC515	3.33	um	11494412	unclassified
consensus	tivantinib	BRD-K33379087	0.0554	MCF7	1.11	um	11494412	unclassified
consensus	Amyleine hydrochloride	BRD-A09062839	0.0519	A375	10.0	um	10767	unclassified
consensus	PENTOBARBITAL	BRD-A44448661	0.0519	A549	10.0	um	4737	unclassified
consensus	METHOXSALEN	BRD-K63430059	0.0519	A549	10.0	um	4114	topoisomerase / DNA damage
consensus	Emetine Dihydrochloride Hydrate (74)	BRD-K01976263	0.0519	HA1E	0.63	um	11957493	protein synthesis inhibitor
consensus	17757146	BRD-K05402890	0.0519	HT29	0.35	um	17757146	unclassified
consensus	geldanamycin	BRD-A19500257	0.0519	HA1E	10.0	um	13017911	HSP90 inhibitor
consensus	mitoxantrone	BRD-K21680192	0.0519	MCF7	10	um	5458171	topoisomerase / DNA damage
consensus	JNK-IN-5A	BRD-K76401790	0.0519	HCC515	3.33	um		other kinase inhibitor
